283477891	54.169566	-4.520590
283477900	54.168991	-4.448410
283477947	54.322257	-4.473915
283477971	54.175824	-4.457960
283477990	54.109172	-4.701188
283477994	54.169059	-4.492345
283478001	54.177086	-4.456093
283478003	54.178068	-4.469840
283478008	54.225521	-4.680377
283478012	54.221621	-4.401132
283478015	54.171251	-4.457137
283478022	54.239227	-4.409288
283478028	54.317656	-4.388076
283478036	54.157249	-4.483485
283478048	54.082841	-4.757842
283478055	54.217081	-4.696008
283478056	54.100646	-4.705286
283478081	54.091612	-4.675672
283478107	54.163286	-4.483233
283478116	54.279198	-4.590383
283478122	54.173156	-4.485805
283478127	54.167677	-4.450053
283478128	54.155754	-4.492918
283478130	54.076564	-4.644454
283478139	54.158764	-4.513954
283478162	54.225748	-4.674972
283478164	54.231032	-4.403640
283478189	54.317426	-4.389017
283478194	54.331260	-4.399618
283478197	54.220754	-4.693739
283478200	54.153143	-4.485341
283478226	54.151485	-4.515197
283478232	54.160143	-4.478531
283478235	54.172300	-4.512295
283478241	54.168750	-4.677240
283478281	54.079133	-4.737594
283478291	54.167977	-4.520918
283478385	54.147598	-4.476756
283478399	54.177029	-4.423185
283478425	54.168313	-4.472443
283478533	54.319441	-4.382613
283478556	54.321173	-4.401414
283478561	54.164453	-4.475977
283478626	54.183591	-4.463682
283478634	54.347933	-4.458867
283478669	54.152782	-4.493818
283478689	54.184074	-4.564982
283478753	54.209757	-4.515662
283478754	54.122625	-4.640860
283478770	54.178937	-4.460661
283478812	54.181935	-4.549704
283478842	54.100400	-4.681151
283478855	54.325054	-4.382230
283478858	54.096233	-4.698991
283478900	54.099509	-4.682970
283478908	54.135962	-4.609123
283478918	54.310496	-4.364953
283478927	54.175753	-4.547561
283478930	54.175318	-4.478057
283478936	54.159373	-4.482173
283478937	54.383337	-4.387108
283478946	54.104387	-4.739000
283478958	54.332275	-4.389886
283478963	54.088059	-4.748068
283478964	54.182854	-4.562008
283478977	54.153205	-4.481633
283478978	54.076966	-4.648766
283478987	54.171780	-4.448646
283478989	54.332635	-4.392510
283478991	54.155033	-4.526396
